district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139416,141266,96226,0.703396500575165,0.7127303182579564,0.48548969748340093
Baden-Baden,55449,47080,46835,41064,0.8490685134087179,0.8446500387743693,0.7405724178975275
Biberach,202250,138840,141215,99919,0.6864771322620519,0.6982200247218788,0.49403708281829417
Böblingen,392898,270618,269675,196775,0.6887741856665088,0.6863740716420038,0.5008297318897017
Bodenseekreis,217901,158354,160306,117138,0.726724521686454,0.7356827182986769,0.5375744030545981
Breisgau-Hochschwarzwald,264867,198204,196331,140090,0.7483151921530429,0.7412437185455342,0.5289069608520502
Calw,160149,108616,110926,72489,0.6782184091065195,0.6926424766935791,0.45263473390405184
Emmendingen,166862,126611,125960,92566,0.7587767136915535,0.7548752861646151,0.554745837878007
Enzkreis,199752,130476,131836,82219,0.6531899555448757,0.6599983980135368,0.41160539068444874
Esslingen,533617,368750,370708,263214,0.691038703789422,0.6947080021813398,0.4932638952657056
Freiburg im Breisgau,230940,180245,179002,146890,0.7804841084264311,0.7751017580323893,0.6360526543691002
Freudenstadt,118364,96175,95199,98884,0.8125359061876922,0.804290155790612,0.8354229326484404
Göppingen,258781,179382,181835,120278,0.693180720377462,0.7026597779589692,0.4647868274718778
Heidelberg,158741,122536,120574,97197,0.7719240775855009,0.759564321756824,0.6122992799591788
Heidenheim,132812,87281,89648,62061,0.6571770623136464,0.6749992470559889,0.46728458271842904
"Heilbronn, Land",346363,237745,237672,157987,0.6864041482490912,0.6861933867070097,0.4561312842307059
"Heilbronn, Stadt",126458,92322,95653,64049,0.7300605734710338,0.7564013348305366,0.5064843663508833
Hohenlohekreis,112765,76994,76028,57523,0.6827827783443444,0.6742162905156742,0.510113953797721
"Karlsruhe, Land",446852,326492,328568,238145,0.7306490739663244,0.7352949074861476,0.5329393177159328
"Karlsruhe, Stadt",308436,221738,221639,165015,0.7189108923731341,0.7185899181677885,0.5350056413648212
Konstanz,286876,203418,204207,153204,0.7090798812030285,0.7118301984132517,0.534042582858099
Lörrach,228842,164434,164422,115197,0.7185481686054134,0.718495730678809,0.5033909859204168
Ludwigsburg,544971,370326,373348,232114,0.6795334063647424,0.6850786555614886,0.42591991133473156
Main-Tauber-Kreis,132684,95865,97988,72640,0.7225061047300353,0.7385065267854451,0.5474661602001748
Mannheim,309721,229108,225968,162929,0.7397238159504844,0.7295856593514809,0.5260508651334588
Neckar-Odenwald-Kreis,143797,99334,102063,71772,0.6907932710696328,0.7097714138681613,0.4991202876276974
Ortenaukreis,432580,309460,305093,212641,0.7153821258495539,0.7052868833510565,0.49156456609182114
Ostalbkreis,314294,224068,223624,163795,0.7129248410723718,0.7115121510432907,0.521152169624619
Pforzheim,126016,83742,82703,65465,0.6645346622651092,0.6562896775012697,0.5194975241239208
Rastatt,232091,162909,166263,118190,0.7019186439801629,0.7163698721622123,0.509239910207634
Ravensburg,285888,200137,199791,146697,0.7000538672487128,0.6988436030893217,0.513127518468771
Rems-Murr-Kreis,427286,291984,294367,223787,0.6833455811798187,0.6889226419775045,0.5237405391236782
Reutlingen,287497,204844,206687,145736,0.7125083044344811,0.7189188061092812,0.5069131156151194
Rhein-Neckar-Kreis,548233,404926,404044,302875,0.7386020177552245,0.7369932127398388,0.552456710924005
Rottweil,140166,97788,101010,72914,0.6976584906468045,0.7206455203116305,0.5201974801307022
Schwäbisch Hall,197860,130476,133736,90817,0.6594359648236127,0.6759122611947842,0.4589962599818053
Schwarzwald-Baar-Kreis,212872,149512,152635,102451,0.7023563455973543,0.7170271336765756,0.4812798301326619
Sigmaringen,130946,87812,88657,64474,0.6705970400012219,0.6770500817130726,0.4923709009820842
Stuttgart,630305,443307,441685,308115,0.7033214078898311,0.7007480505469574,0.48883477046826534
Tübingen,228471,168408,170691,129027,0.73710886720852975,0.7471013826700106,0.5647412581903174
Tuttlingen,141682,94033,96494,62744,0.6636905182027357,0.6810604028740419,0.4428508914329273
Ulm,126405,101490,101610,79101,0.8028954550848463,0.8038447846208615,0.6257742969028124
Waldshut,171237,119247,123374,89777,0.6963857110320784,0.7204868106775989,0.5242850552158704
Zollernalbkreis,189862,123003,123920,71476,0.6478547576660943,0.6526845814328301,0.3764629046359988
Baden-Württemberg,11103043,7867506,7905256,5667667,0.7085900685064446,0.7119900373258033,0.5104606908214262
