district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139640,141920,103402,0.7045266493108111,0.7160299489414946,0.5216948194789207
Baden-Baden,55449,47196,47128,44639,0.8511605258886544,0.8499341737452434,0.8050460783783296
Biberach,202250,139176,142026,106737,0.6881384425216317,0.702229913473424,0.5277478368355996
Böblingen,392898,271379,271037,214514,0.6907110751390946,0.6898406202118617,0.5459788545627619
Bodenseekreis,217901,158788,161286,127137,0.7287162518758519,0.7401801735650594,0.5834622144919023
Breisgau-Hochschwarzwald,264867,198597,197304,153260,0.7497989557022958,0.7449172603608604,0.5786300294109874
Calw,160149,108851,111512,78417,0.679685792605636,0.6963015691637163,0.48965026319240207
Emmendingen,166862,126855,126606,100344,0.7602389998921264,0.7587467488103942,0.601359207009385
Enzkreis,199752,130832,132731,88892,0.6549721654852017,0.6644789539028395,0.4450118146501662
Esslingen,533617,369380,372279,287781,0.6922193258460656,0.6976520613098908,0.5393025334650133
Freiburg im Breisgau,230940,180732,179974,158498,0.7825928812678618,0.779310643457175,0.6863167922404088
Freudenstadt,118364,98398,99449,104406,0.8313169544794026,0.8401963434828157,0.882075631104052
Göppingen,258781,179743,182976,131964,0.6945757223289191,0.7070689115506934,0.5099447022772151
Heidelberg,158741,122886,121170,106365,0.7741289269942863,0.7633188653214985,0.670053735329877
Heidenheim,132812,87462,90092,66020,0.6585398909737072,0.6783423184651989,0.4970936361172183
"Heilbronn, Land",346363,238178,238902,171010,0.6876542817795204,0.6897445743338636,0.4937305659091762
"Heilbronn, Stadt",126458,92577,96297,70345,0.7320770532508817,0.7614939347451327,0.556271647503519
Hohenlohekreis,112765,77130,76367,61627,0.6839888263202235,0.6772225424555491,0.5465082250698355
"Karlsruhe, Land",446852,327403,330622,260778,0.7326877802941466,0.7398915077027741,0.5835891973181278
"Karlsruhe, Stadt",308436,223277,224848,183538,0.7239005822925988,0.728994021450155,0.5950602394013669
Konstanz,286876,203845,205226,164087,0.7105683291735803,0.7153822557481281,0.5719788340607092
Lörrach,228842,164756,165397,124822,0.7199552529692976,0.722756312215415,0.5454505728843482
Ludwigsburg,544971,371128,375318,256617,0.6810050443051098,0.6886935268115184,0.470881936837006
Main-Tauber-Kreis,132684,96051,98598,79339,0.7239079316270236,0.743103916071267,0.5979545386029966
Mannheim,309721,229997,227845,180276,0.7425941411786737,0.7356459523248343,0.5820593372745148
Neckar-Odenwald-Kreis,143797,99586,102767,79049,0.6925457415662357,0.7146672044618455,0.5497263503411058
Ortenaukreis,432580,310059,306652,227478,0.7167668408155717,0.7088908410005086,0.5258634241065236
Ostalbkreis,314294,224481,224697,174093,0.714238897338161,0.7149261519469032,0.5539176694432602
Pforzheim,126016,83979,83515,70304,0.666415375825292,0.6627333037074657,0.5578974098527171
Rastatt,232091,163198,167149,128805,0.7031638452158852,0.7201873403104817,0.5549762808553541
Ravensburg,285888,200828,201185,156257,0.7024708976942019,0.7037196384598164,0.5465671871502127
Rems-Murr-Kreis,427286,292641,295679,243235,0.6848831929901752,0.6919931848925543,0.5692557209924969
Reutlingen,287497,205151,207596,154827,0.7135761416640869,0.7220805782321207,0.5385343151406797
Rhein-Neckar-Kreis,548233,406324,406619,337483,0.74115202842587,0.7416901208062995,0.615583155337238
Rottweil,140166,98020,101898,78101,0.6993136709330365,0.7269808655451393,0.5572036014440022
Schwäbisch Hall,197860,130818,134431,96098,0.6611644597189932,0.6794248458506015,0.48568684928737493
Schwarzwald-Baar-Kreis,212872,149989,153663,111606,0.7045971287910106,0.7218563268067195,0.524286895411327
Sigmaringen,130946,87983,89094,68940,0.6719029218150994,0.6803873352374261,0.526476562857972
Stuttgart,630305,444408,444169,335710,0.7050681812773181,0.7046889997699527,0.5326151625006941
Tübingen,228471,168773,171383,137682,0.7387064441438957,0.75013021346254,0.6026235277124887
Tuttlingen,141682,94220,97236,66486,0.6650103753476094,0.6862974830959473,0.4692621504495984
Ulm,126405,101742,102266,84829,0.8048890471104783,0.8090344527510779,0.6710889600886041
Waldshut,171237,119504,124174,96038,0.6978865548917582,0.7251586981785478,0.5608484147701723
Zollernalbkreis,189862,123182,124365,76123,0.6487975476925346,0.655028389040461,0.4009385764397299
Baden-Württemberg,11103043,7889143,7955448,6147959,0.7105388135486821,0.7165105998418632,0.5537183815283792
