district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139540,141636,98621,0.7040221186252548,0.7145970817945148,0.49757320740247424
Baden-Baden,55449,47149,47022,42401,0.8503129001424733,0.8480225071687496,0.7646846651878303
Biberach,202250,138973,141610,102170,0.6871347342398022,0.7001730531520396,0.5051668726823239
Böblingen,392898,270941,270340,202562,0.6895962819866733,0.6880666228894013,0.5155587455268289
Bodenseekreis,217901,158563,160793,121052,0.727683672860611,0.737917678211665,0.5555366886797215
Breisgau-Hochschwarzwald,264867,198404,196839,144645,0.7490702881068612,0.7431616622682328,0.5461042712002627
Calw,160149,108721,111210,74464,0.6788740485422949,0.694415825262724,0.46496699948173265
Emmendingen,166862,126734,126333,95649,0.7595138497680718,0.7571106662990975,0.5732221836008199
Enzkreis,199752,130645,132315,84509,0.6540360046457607,0.6623963715006608,0.42306960631182666
Esslingen,533617,369040,371547,270416,0.691582164736131,0.6962802909202668,0.5067604667767331
Freiburg im Breisgau,230940,180446,179492,150928,0.781354464363038,0.7772235212609335,0.6535377154239196
Freudenstadt,118364,96268,95405,100098,0.8133216180595452,0.80603054982934,0.8456794295562841
Göppingen,258781,179501,182363,124152,0.6936405686661694,0.7047001132231501,0.4797570146185385
Heidelberg,158741,122720,120818,100253,0.7730831984175481,0.7611014167732344,0.6315507650827449
Heidenheim,132812,87368,89879,63500,0.6578321236032889,0.6767385477215915,0.47811944703791825
"Heilbronn, Land",346363,237947,238330,162560,0.6869873514203307,0.688093127730156,0.4693341956271311
"Heilbronn, Stadt",126458,92448,96012,66193,0.731056951715194,0.7592402220500087,0.5234386120292903
Hohenlohekreis,112765,77081,76205,58883,0.6835542943289141,0.6757859264842815,0.5221744335565113
"Karlsruhe, Land",446852,326849,329473,245485,0.7314479962045599,0.7373201865494615,0.5493653379642477
"Karlsruhe, Stadt",308436,222133,222964,171036,0.7201915470308264,0.722885785057516,0.5545267089444812
Konstanz,286876,203623,204740,156955,0.7097944756619585,0.7136881440064697,0.5471179185432034
Lörrach,228842,164588,164939,117994,0.7192211219968363,0.7207549313500144,0.5156133926464548
Ludwigsburg,544971,370767,374430,240324,0.6803426237359419,0.6870640823089669,0.44098493314323145
Main-Tauber-Kreis,132684,95940,98357,75116,0.723071357511079,0.7412875704681801,0.5661270386783637
Mannheim,309721,229511,226911,169723,0.741024987004433,0.7326303350434746,0.5479867364499017
Neckar-Odenwald-Kreis,143797,99468,102423,74422,0.6917251403019534,0.7122749431490226,0.5175490448340369
Ortenaukreis,432580,309751,305889,217900,0.7160548337879699,0.707127005409404,0.5037218549170096
Ostalbkreis,314294,224284,224202,167238,0.7136120956811138,0.7133511934685358,0.5321068808185966
Pforzheim,126016,83854,83074,67013,0.66542343829355,0.65923374809548,0.5317816785170137
Rastatt,232091,163045,166754,121805,0.7025046210322675,0.7184854216665015,0.5248156972911487
Ravensburg,285888,200541,200566,150685,0.7014670080591001,0.701554454891426,0.5270770371614059
Rems-Murr-Kreis,427286,292250,295024,230050,0.6839681150330224,0.690460253787861,0.5383981689079446
Reutlingen,287497,205012,207215,148925,0.7130926583581741,0.7207553470123167,0.5180054052737941
Rhein-Neckar-Kreis,548233,405820,405487,314990,0.740232711274221,0.7396253052990244,0.5745549793609651
Rottweil,140166,97892,101437,74789,0.6984004680164947,0.7236919081660317,0.5335744759784826
Schwäbisch Hall,197860,130643,134117,92745,0.660279995956737,0.6778378651571818,0.46874052360254725
Schwarzwald-Baar-Kreis,212872,149755,153187,105502,0.7034978766582736,0.7196202412717502,0.49561238678642566
Sigmaringen,130946,87923,88953,66182,0.6714447176698792,0.6793105554961587,0.5054144456493517
Stuttgart,630305,443836,442873,318636,0.7041606841132467,0.7026328523492595,0.5055266894598647
Tübingen,228471,168562,171056,132328,0.7377829133675609,0.7486989596053766,0.5791894813783807
Tuttlingen,141682,94093,96771,63788,0.664114001778631,0.6830154853827586,0.4502195056535057
Ulm,126405,101574,101819,80974,0.8035599857600569,0.8054982002294213,0.6405917487441162
Waldshut,171237,119345,123794,91805,0.6969580172509446,0.7229395516155971,0.5361282900307761
Zollernalbkreis,189862,123074,124138,72655,0.6482287134866377,0.6538327838113999,0.3826726780503734
Baden-Württemberg,11103043,7876622,7928742,5832121,0.7094111046854452,0.7141053132911401,0.5252723059795409
