district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,138286,138251,89419,0.6976953038283789,0.6975187180884341,0.4511462937175839
Baden-Baden,55449,46809,45399,38419,0.844181139425418,0.8187523670399827,0.692870926436906
Biberach,202250,138003,138427,92939,0.6823386897404202,0.6844351050679852,0.4595253399258344
Böblingen,392898,260707,257766,121840,0.6635488091056712,0.6560634057694363,0.3101059308013785
Bodenseekreis,217901,157645,157256,109948,0.7234707504784282,0.7216855360920785,0.5045777669675678
Breisgau-Hochschwarzwald,264867,197240,192903,132318,0.7446756296556385,0.7283013738970879,0.49956393208666994
Calw,160149,108125,109091,67518,0.6751525142211315,0.6811843970302656,0.421594889758912
Emmendingen,166862,125958,123860,87421,0.7548633002121513,0.7422900360777169,0.5239119751651065
Enzkreis,199752,129749,129724,76734,0.6495504425487605,0.6494252873563219,0.38414634146341464
Esslingen,533617,367014,365502,245525,0.6877854341222263,0.6849519411862816,0.460114651519723
Freiburg im Breisgau,230940,179347,176069,138865,0.776595652550446,0.762401489564389,0.6013033688403915
Freudenstadt,118364,95720,93671,95125,0.8086918319759386,0.7913808252509209,0.8036649656990301
Göppingen,258781,178417,178496,111712,0.6894516985404647,0.6897569759758251,0.43168547922760947
Heidelberg,158741,121711,118261,89775,0.7667269325505068,0.7449934169496223,0.5655438733534499
Heidenheim,132812,86658,87616,57019,0.6524862211245972,0.6596994247507756,0.4293211456796073
"Heilbronn, Land",346363,236542,233601,145667,0.6829309135213634,0.6744398218054469,0.42056166507392534
"Heilbronn, Stadt",126458,91803,93868,58196,0.7259564440367553,0.7422859763716017,0.46020022458049314
Hohenlohekreis,112765,76535,74948,54273,0.6787123664257527,0.664638850707223,0.48129295437414094
"Karlsruhe, Land",446852,324337,322050,220732,0.7258264481304773,0.7207084224754505,0.4939711582358365
"Karlsruhe, Stadt",308436,219717,215998,150136,0.7123584795549157,0.7003008727904655,0.48676548781594886
Konstanz,286876,202321,200397,143573,0.7052559293910958,0.6985491989570407,0.5004705865949051
Lörrach,228842,163566,161324,107525,0.7147551585810297,0.7049580059604443,0.46986567151134845
Ludwigsburg,544971,368446,367230,216045,0.6760836815169982,0.6738523701261168,0.3964339386866457
Main-Tauber-Kreis,132684,95179,95981,67159,0.7173359259594224,0.7233803623647161,0.5061574869615025
Mannheim,309721,227151,221471,148128,0.7334052259937169,0.7150661401713154,0.4782626944895567
Neckar-Odenwald-Kreis,143797,98764,100078,66546,0.6868293497082693,0.6959672315834128,0.46277738756719544
Ortenaukreis,432580,307913,300004,199318,0.7118059087336447,0.6935225854177262,0.4607656387257848
Ostalbkreis,314294,222777,219954,153536,0.7088172220914176,0.6998351861632739,0.4885107574436674
Pforzheim,126016,83319,80888,61589,0.6611779456576943,0.6418867445403759,0.4887395251396648
Rastatt,232091,162059,163352,109315,0.6982562874045094,0.7038273780542976,0.4710005989030165
Ravensburg,285888,198616,195777,137388,0.6947336019700022,0.6848031396910679,0.4805658159838818
Rems-Murr-Kreis,427286,290466,289258,207200,0.6797929255814606,0.6769657793608964,0.484921106706047
Reutlingen,287497,203635,202937,137281,0.7083030431621895,0.7058751917411312,0.4775041130863974
Rhein-Neckar-Kreis,548233,402258,396181,280371,0.7337354737857809,0.7226507707489334,0.511408470486089
Rottweil,140166,97166,98676,68004,0.6932208952242341,0.7039938358803134,0.485167587003981
Schwäbisch Hall,197860,129466,130893,84363,0.6543313453957343,0.661543515617103,0.42637723642979886
Schwarzwald-Baar-Kreis,212872,148567,149276,94286,0.6979170581382239,0.7012476981472434,0.4429234469540381
Sigmaringen,130946,87357,87072,60810,0.6671223252333023,0.6649458555435065,0.46438990118063933
Stuttgart,630305,440591,433822,282849,0.6990123828939958,0.6882731376079835,0.44874941496577053
Tübingen,228471,167837,168016,121615,0.7346096441123818,0.7353931133491778,0.5322995040946116
Tuttlingen,141682,93441,94632,58935,0.6595121469205686,0.6679182959020906,0.415966742423173
Ulm,126405,101011,99882,74388,0.7991060480202523,0.7901744393022427,0.5884893793758158
Waldshut,171237,117533,119444,76353,0.6863761920612952,0.697536163329187,0.44589078294994655
Zollernalbkreis,189862,122636,122707,67939,0.6459217747627224,0.6462957305832657,0.3578335843928748
Baden-Württemberg,11103043,7812398,7752009,5208097,0.703626744487975,0.698187785096392,0.46906933531645334
