district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139586,141777,100450,0.7042542027406107,0.7153084700611492,0.5068010736412989
Baden-Baden,55449,47171,47071,43347,0.8507096611300474,0.8489062020956194,0.7817453876535194
Biberach,202250,139062,141758,104209,0.68757478368356,0.7009048207663783,0.5152484548825711
Böblingen,392898,271146,270630,207478,0.6901180459050441,0.6888047279446574,0.5280708988083421
Bodenseekreis,217901,158657,161019,123602,0.7281150614269783,0.7389548464669735,0.5672392508524513
Breisgau-Hochschwarzwald,264867,198499,197062,148391,0.7494289586849249,0.7440035942567402,0.5602472184152801
Calw,160149,108786,111388,76651,0.6792799205739655,0.695527290210991,0.47862303230116954
Emmendingen,166862,126790,126457,97568,0.7598494564370558,0.7578537953518476,0.584722704989752
Enzkreis,199752,130727,132466,86109,0.6544465136769594,0.6631523088629901,0.4310795386278986
Esslingen,533617,369194,371853,277650,0.691870761238866,0.696853735919208,0.5203170063922251
Freiburg im Breisgau,230940,180599,179672,154071,0.7820169741058284,0.7780029444877458,0.6671473109898675
Freudenstadt,118364,98367,99366,103064,0.8310550505221183,0.8394951167584739,0.8707377243080666
Göppingen,258781,179598,182605,127290,0.694015402985536,0.7056352668858996,0.49188309806361363
Heidelberg,158741,122776,120966,102963,0.7734359743229537,0.7620337530946636,0.6486225990764831
Heidenheim,132812,87405,89974,64567,0.6581107128873896,0.6774538445321205,0.48615335963617745
"Heilbronn, Land",346363,238038,238596,166142,0.6872500815618297,0.6888611081437682,0.47967594691118853
"Heilbronn, Stadt",126458,92494,96151,67956,0.7314207088519509,0.7603394012241218,0.5373799996836894
Hohenlohekreis,112765,77095,76265,59926,0.683678446326431,0.6763180064736398,0.5314237573715248
"Karlsruhe, Land",446852,327156,329984,252518,0.73213502457189406,0.7384637419100731,0.5651043298452284
"Karlsruhe, Stadt",308436,222530,223552,176358,0.7214786860158996,0.7247921773074479,0.5717815041045793
Konstanz,286876,203743,204966,160216,0.7102127748574297,0.7144759408246072,0.5584851991801336
Lörrach,228842,164655,165113,120753,0.7195139004203773,0.7215152812857779,0.5276697459382456
Ludwigsburg,544971,370930,374812,246804,0.6806417222200815,0.6877650370386681,0.45287547410779655
Main-Tauber-Kreis,132684,95993,98442,76930,0.7234708028096831,0.7419281902866962,0.5797986192758735
Mannheim,309721,229702,227247,174354,0.7416416710523343,0.7337151823738138,0.5629389030772857
Neckar-Odenwald-Kreis,143797,99514,102567,76033,0.6920450357100635,0.7132763548613671,0.5287523383658908
Ortenaukreis,432580,309854,306237,221729,0.7162929400342133,0.707931480882149,0.5125733968283324
Ostalbkreis,314294,224358,224386,170140,0.7138475440192941,0.7139366325796865,0.5413402737564191
Pforzheim,126016,83910,83243,68280,0.6658678263077704,0.6605748476383951,0.5418359573387507
Rastatt,232091,163090,166902,124531,0.7026985104980374,0.7191231025761448,0.5365610902620093
Ravensburg,285888,200622,200729,152868,0.7017503357958361,0.7021246082381912,0.5347128945601075
Rems-Murr-Kreis,427286,292471,295375,235915,0.6844853330088044,0.6912817176317502,0.5521243382652369
Reutlingen,287497,205073,207349,151400,0.7133048344852294,0.7212214388324052,0.5266141907567731
Rhein-Neckar-Kreis,548233,406057,405970,324468,0.7406650092205321,0.7405063175693546,0.591843249129476
Rottweil,140166,97952,101579,76047,0.6988285318836237,0.7247049926515703,0.5425495483926202
Schwäbisch Hall,197860,130721,134245,94202,0.6606742140907712,0.6784847872232892,0.4761043161831598
Schwarzwald-Baar-Kreis,212872,149863,153412,107870,0.7040052237964598,0.7206772144763051,0.5067364425570295
Sigmaringen,130946,87953,89015,67266,0.6716738197424893,0.6797840331128863,0.5136926672063293
Stuttgart,630305,444041,443374,326021,0.7044859234814891,0.7034277056345737,0.5172432393841077
Tübingen,228471,168651,171175,134650,0.7381724595244036,0.749219813455537,0.5893526968411746
Tuttlingen,141682,94189,97138,65358,0.6647915755000635,0.6856057932553182,0.4613006592227665
Ulm,126405,101661,102138,83006,0.8042482496736679,0.8080218345793283,0.65666706222064
Waldshut,171237,119400,123909,93640,0.6972792095166348,0.7236111354438585,0.5468444319860778
Zollernalbkreis,189862,123134,124237,73932,0.6485447324899137,0.6543542151668054,0.38939861583676566
Baden-Württemberg,11103043,7883213,7942172,5966723,0.7100047257314954,0.7153148916022392,0.5373952888410862
