district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,138808,139934,93111,0.7003289540069827,0.7060099695263465,0.4697735666283223
Baden-Baden,55449,46981,46476,39613,0.8472830889646342,0.8381756208407726,0.7144042273079767
Biberach,202250,138556,140035,96564,0.6850729295426452,0.6923856613102596,0.4774487021013597
Böblingen,392898,261148,259060,126143,0.6646712378276296,0.6593568814297859,0.32105788270747115
Bodenseekreis,217901,158098,158924,113191,0.7255496762291133,0.7293403885250641,0.5194606725072395
Breisgau-Hochschwarzwald,264867,197905,194976,136462,0.7471863237020845,0.7361279434584149,0.5152095202497857
Calw,160149,108435,110193,70365,0.6770882116029447,0.6880654890133563,0.4393720847460802
Emmendingen,166862,126433,125125,90133,0.7577099639222831,0.7498711510110151,0.5401649267059007
Enzkreis,199752,130181,130939,79628,0.6517131242740999,0.6555078297088389,0.39863430654010973
Esslingen,533617,368036,368254,254070,0.6897006654585592,0.6901091981702232,0.4761280094149924
Freiburg im Breisgau,230940,179910,177853,142849,0.779033515198753,0.7701264397679051,0.6185546029271672
Freudenstadt,118364,96024,94557,97258,0.811260180460275,0.7988662093204014,0.8216856476631408
Göppingen,258781,179028,180340,116102,0.6918127683253408,0.6968826923151236,0.44864963038244693
Heidelberg,158741,122175,119421,93183,0.7696499329095823,0.752300917847311,0.5870128070252801
Heidenheim,132812,87092,88976,60058,0.6557539981326989,0.6699394633015089,0.45220311417642983
"Heilbronn, Land",346363,237335,236034,152620,0.68522041904014,0.6814642441600286,0.4406359801710922
"Heilbronn, Stadt",126458,92155,94853,61233,0.7287399769093296,0.7500751237565041,0.484216103370289
Hohenlohekreis,112765,76840,75585,55856,0.6814171063716579,0.6702877665942447,0.49533099809338005
"Karlsruhe, Land",446852,325724,325854,230120,0.72893038410928,0.7292213081736235,0.5149803514362697
"Karlsruhe, Stadt",308436,220797,219159,156810,0.715860016340505,0.7105493522156947,0.5084036882854142
Konstanz,286876,203056,202615,148911,0.707818011963357,0.7062807624200003,0.5190779291401163
Lörrach,228842,164088,163070,111449,0.7170362083883203,0.712587724281382,0.4870128735109814
Ludwigsburg,544971,369638,370411,223797,0.67827095386727,0.679689377966901,0.4106585488035143
Main-Tauber-Kreis,132684,95714,97134,69930,0.7213680624642007,0.7320701817852944,0.5270416930451298
Mannheim,309721,228335,223872,155025,0.7372280213482457,0.7228182783860313,0.5005311231721452
Neckar-Odenwald-Kreis,143797,99119,101159,69191,0.6892981077491186,0.7034847736739988,0.48117137353352296
Ortenaukreis,432580,308973,302883,206190,0.7142563225299366,0.7001780017569005,0.47665171760136854
Ostalbkreis,314294,223607,222025,159166,0.7114580615601952,0.7064245578980191,0.5064239215511591
Pforzheim,126016,83565,81928,63539,0.6631300787201625,0.6501396648044693,0.50421375063484
Rastatt,232091,162583,164991,114051,0.70051402251703,0.7108892632631166,0.4914063880115989
Ravensburg,285888,199487,197701,142002,0.6977802496082381,0.6915330479068726,0.49670500335795836
Rems-Murr-Kreis,427286,291383,292040,216644,0.6819390291280314,0.6834766409383879,0.5070233988476103
Reutlingen,287497,204235,204940,141464,0.7103900214610935,0.7128422209623057,0.49205383012692305
Rhein-Neckar-Kreis,548233,403956,400546,290436,0.7368326970466936,0.7306127139373223,0.5297674528895561
Rottweil,140166,97582,100048,70603,0.696188804702995,0.7137822296419959,0.5037098868484511
Schwäbisch Hall,197860,130251,132709,88158,0.6582987971292833,0.670721722430001,0.44555746487415343
Schwarzwald-Baar-Kreis,212872,149222,151094,98943,0.7009940245781503,0.7097880416400466,0.46480044345898003
Sigmaringen,130946,87629,87909,62611,0.6691995173583004,0.6713378033693278,0.47814366227299804
Stuttgart,630305,442008,437940,293535,0.7012605008686271,0.6948064825758958,0.4657031119854674
Tübingen,228471,168184,169634,125627,0.7361284364317572,0.7424749749421152,0.5498597196143056
Tuttlingen,141682,93847,95737,61168,0.6623777191174602,0.6757174517581627,0.431727389506077
Ulm,126405,101328,100949,76816,0.8016138602112258,0.7986155610933112,0.6076974803211899
Waldshut,171237,118769,122020,85691,0.6935942582502613,0.7125796410822427,0.5004233898047735
Zollernalbkreis,189862,122881,123346,69971,0.6472121856927663,0.6496613329681559,0.36853609463715753
Baden-Württemberg,11103043,7841101,7833249,5410287,0.7062118916408772,0.7055046981264506,0.48727965837833825
