district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,133516,129658,42983,0.6736291901273436,0.6541643962785817,0.2168624245726625
Baden-Baden,55449,43562,42117,17745,0.7856228245775397,0.7595628415300546,0.3200238056592544
Biberach,202250,131143,126892,39421,0.6484202719406675,0.6274017305315204,0.19491223733003707
Böblingen,392898,255457,248067,67389,0.6501865624156906,0.6313776094558893,0.17151779851259105
Bodenseekreis,217901,152387,147179,53600,0.6993405262022662,0.6754397639294909,0.24598326763071304
Breisgau-Hochschwarzwald,264867,186592,179738,68529,0.7044743210743505,0.6785971827369963,0.2587298530960822
Calw,160149,103305,99937,27313,0.6450555420264878,0.624025126600853,0.17054742770794698
Emmendingen,166862,121392,116993,44374,0.7274993707374957,0.7011362682935599,0.26593232731238986
Enzkreis,199752,126118,122067,36206,0.6313729023989747,0.6110927550162201,0.18125475589731266
Esslingen,533617,356131,344477,116342,0.6673906565945238,0.6455510225498813,0.21802528780005134
Freiburg im Breisgau,230940,171194,165712,68562,0.7412921105048931,0.717554343119425,0.2968823070927514
Freudenstadt,118364,85810,81930,50984,0.7249670507924707,0.6921868135581765,0.43073907607042683
Göppingen,258781,172504,167616,52165,0.6666022621444387,0.6477137038654306,0.20157971412120673
Heidelberg,158741,115730,110735,42690,0.7290492059392344,0.6975828550909973,0.2689286321744225
Heidenheim,132812,83479,80272,25733,0.6285501310122579,0.6044032165768154,0.1937550823720748
"Heilbronn, Land",346363,228453,220488,67324,0.6595768023720778,0.6365806971298897,0.19437411039862804
"Heilbronn, Stadt",126458,86971,85316,27943,0.6877461291495991,0.6746587799901944,0.22096664505211217
Hohenlohekreis,112765,73523,69939,26617,0.6520019509599609,0.6202190395956192,0.23603955127920898
"Karlsruhe, Land",446852,312508,303315,107912,0.6993545961526412,0.6787817890487231,0.24149382793408108
"Karlsruhe, Stadt",308436,209680,202367,68463,0.6798168825947685,0.6561069395271628,0.221968252733144
Konstanz,286876,193904,187478,61756,0.6759157266554191,0.6535158047379356,0.21527070929600245
Lörrach,228842,155043,149844,38905,0.6775111212102674,0.6547923895089188,0.17000812787862368
Ludwigsburg,544971,356408,347608,104330,0.653994432731283,0.6378467845077995,0.1914413794495487
Main-Tauber-Kreis,132684,91787,90155,24449,0.6917714268487535,0.6794715263332429,0.18426486991649332
Mannheim,309721,215525,207252,70914,0.6958682168790621,0.669157080081751,0.22896090352284798
Neckar-Odenwald-Kreis,143797,94920,93368,27946,0.6600972203870734,0.6493042274873606,0.19434341467485414
Ortenaukreis,432580,294678,280160,91233,0.6812104119469231,0.6476489897822368,0.21090434139349948
Ostalbkreis,314294,215716,205450,72884,0.6863509962010093,0.6536873118799595,0.23189752270167424
Pforzheim,126016,78253,74160,21911,0.6209767013712545,0.5884966988318944,0.17387474606399186
Rastatt,232091,157119,153649,49498,0.6769715327177702,0.6620205005795141,0.2132697950372914
Ravensburg,285888,190847,181713,54484,0.6675586243563914,0.6356090496977838,0.19057812849787328
Rems-Murr-Kreis,427286,279017,270575,87949,0.6529982260125536,0.6332409674082464,0.20583169118576317
Reutlingen,287497,196416,189103,62722,0.6831932159292097,0.6577564287627349,0.21816575477309327
Rhein-Neckar-Kreis,548233,383239,371959,138701,0.6990440196048031,0.6784688262107534,0.25299644494220525
Rottweil,140166,92870,90913,30019,0.6625715223377995,0.6486095058716094,0.214167487122412
Schwäbisch Hall,197860,123737,121341,35562,0.625376528858789,0.6132669564338421,0.1797331446477307
Schwarzwald-Baar-Kreis,212872,138866,134374,42177,0.6523450712165056,0.631243188394904,0.1981331504378218
Sigmaringen,130946,84019,80016,27460,0.6416309012875536,0.6110610480656148,0.20970476379576314
Stuttgart,630305,415098,399614,140613,0.6585668842861789,0.6340009995161073,0.22308723554469662
Tübingen,228471,161102,156741,58438,0.7051310669625467,0.6860433052772562,0.2557786327367587
Tuttlingen,141682,89599,86099,27401,0.6323950819440719,0.6076918733501786,0.19339789105179203
Ulm,126405,95522,91315,34818,0.7556821328270242,0.7224002215102251,0.27544796487480716
Waldshut,171237,112639,110352,31059,0.6577959202742398,0.6444401618809019,0.18138019236496786
Zollernalbkreis,189862,119554,115915,31261,0.6296889319611086,0.6105223794124154,0.1646511676902171
Baden-Württemberg,11103043,7485333,7233969,2418785,0.6741695047024496,0.6515303057008786,0.21784883657570273
