district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139603,141840,101480,0.7043399729571552,0.7156263243930496,0.5119977397025287
Baden-Baden,55449,47181,47091,43871,0.8508900070334903,0.849266893902505,0.7911955129939223
Biberach,202250,139124,141891,105308,0.6878813349814585,0.7015624227441285,0.5206823238566131
Böblingen,392898,271228,270761,210026,0.6903267514723923,0.6891381478144455,0.5345560425352127
Bodenseekreis,217901,158704,161125,124881,0.7283307557101619,0.7394413059141537,0.5731088888990872
Breisgau-Hochschwarzwald,264867,198534,197165,150283,0.7495611004768431,0.7443924686729566,0.5673904261384015
Calw,160149,108804,111419,77340,0.6793923159058127,0.6957208599491723,0.4829252758368769
Emmendingen,166862,126817,126521,98659,0.7600112667953159,0.7582373458306865,0.5912610420587072
Enzkreis,199752,130766,132584,87253,0.6546417557771637,0.6637430413713004,0.43680664023389004
Esslingen,533617,369260,371985,280966,0.691994445454324,0.6971011043501237,0.5265312012173525
Freiburg im Breisgau,230940,180661,179776,155466,0.7822854421061748,0.7784532779076816,0.6731878409976617
Freudenstadt,118364,98376,99396,103507,0.8311310871548782,0.8397485722010071,0.8744804163428069
Göppingen,258781,179653,182732,128713,0.6942279379088883,0.7061260293452765,0.49738195617143455
Heidelberg,158741,122801,121049,104136,0.7735934635664384,0.7625566173830327,0.6560119943807838
Heidenheim,132812,87420,90003,64970,0.6582236544890522,0.6776721982953348,0.4891877240008433
"Heilbronn, Land",346363,238103,238723,168064,0.6874377459486146,0.689227775484102,0.4852250384711993
"Heilbronn, Stadt",126458,92527,96206,68953,0.7316816650587546,0.7607743282354615,0.5452640402347024
Hohenlohekreis,112765,77108,76287,60380,0.6837937303241254,0.676513102469738,0.5354498292910034
"Karlsruhe, Land",446852,327267,330248,255514,0.732383428965295,0.7390545415484322,0.571809010589636
"Karlsruhe, Stadt",308436,222807,223963,178829,0.7223767653581294,0.726124706584186,0.5797928905834597
Konstanz,286876,203772,205078,161500,0.7103138638296685,0.714866353407047,0.5629610005716755
Lörrach,228842,164688,165220,122298,0.7196581047185394,0.7219828527980003,0.5344211289885598
Ludwigsburg,544971,371015,374979,250369,0.6807976938222401,0.6880714753629092,0.45941710659833274
Main-Tauber-Kreis,132684,96003,98488,77870,0.7235461698471557,0.7422748786590697,0.5868831207982876
Mannheim,309721,229783,227453,176410,0.741903196748041,0.7343802971061052,0.5695771355510282
Neckar-Odenwald-Kreis,143797,99546,102623,77062,0.6922675716461401,0.713665792749501,0.5359082595603525
Ortenaukreis,432580,309932,306365,223558,0.7164732535022423,0.7082273799066069,0.5168015164825004
Ostalbkreis,314294,224389,224471,171429,0.7139461777825857,0.7142070799951638,0.5454415292687739
Pforzheim,126016,83926,83338,68946,0.6659947943118334,0.6613287201625191,0.547121000507872
Rastatt,232091,163129,166982,126102,0.702866548035038,0.7194677949597357,0.543329986944776
Ravensburg,285888,200711,200968,154267,0.7020616465189164,0.7029605999552272,0.5396064192970674
Rems-Murr-Kreis,427286,292525,295470,238464,0.6846117120617105,0.6915040511507515,0.5580898976329671
Reutlingen,287497,205093,207440,152524,0.7133744004285262,0.7215379638744056,0.5305237967700532
Rhein-Neckar-Kreis,548233,406145,406232,329491,0.7408255249136773,0.7409842165648547,0.6010054119325178
Rottweil,140166,97976,101673,76732,0.6989997574304753,0.7253756260434057,0.547436610875676
Schwäbisch Hall,197860,130759,134316,94764,0.6608662690791469,0.6788436268068331,0.4789447083796624
Schwarzwald-Baar-Kreis,212872,149920,153498,109203,0.7042729903416137,0.7210812131233794,0.5129984215866812
Sigmaringen,130946,87962,89046,67829,0.6717425503642723,0.68002077192125,0.5179921494356452
Stuttgart,630305,444142,443647,329010,0.7046461633653549,0.7038608292810623,0.5219853880264317
Tübingen,228471,168707,171283,135790,0.7384175672185966,0.7496925211514809,0.5943423891872491
Tuttlingen,141682,94204,97183,65722,0.6648974463940374,0.6859234059372398,0.4638697929165314
Ulm,126405,101684,102188,83673,0.8044302045014042,0.808417388552668,0.6619437522249911
Waldshut,171237,119452,124000,94488,0.6975828822041965,0.7241425626470914,0.5517966327370837
Zollernalbkreis,189862,123149,124288,74617,0.6486237372407327,0.65462283131959,0.3930064994575007
Baden-Württemberg,11103043,7885356,7946994,6030717,0.710197735881956,0.7157491869571252,0.5431589339967431
