district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139613,141851,101934,0.7043904260257109,0.7156818227684608,0.5142883090149543
Baden-Baden,55449,47186,47097,44128,0.8509801799852116,0.8493751014445707,0.7958304027124024
Biberach,202250,139142,141932,105700,0.6879703337453646,0.7017651421508034,0.5226205191594561
Böblingen,392898,271267,270807,211046,0.690426013876375,0.6892552265473482,0.5371521361778375
Bodenseekreis,217901,158716,161166,125496,0.7283858265909748,0.7396294647569309,0.5759312715407455
Breisgau-Hochschwarzwald,264867,198554,197188,151154,0.7496366100722249,0.7444793047076457,0.5706788690172804
Calw,160149,108810,111447,77604,0.6794297810164285,0.6958956971320458,0.4845737407039694
Emmendingen,166862,126826,126542,99110,0.7600652035814026,0.7583631983315554,0.5939638743392743
Enzkreis,199752,130784,132612,87717,0.6547318675157195,0.6638832151868317,0.4391295206055509
Esslingen,533617,369286,372061,282720,0.6920431695392013,0.6972435285982268,0.5298182029433095
Freiburg im Breisgau,230940,180680,179837,156289,0.7823677145578938,0.7787174157789902,0.6767515371958084
Freudenstadt,118364,98380,99407,103700,0.8311648812138825,0.8398415058632692,0.8761109796897706
Göppingen,258781,179690,182872,130050,0.6943709159482342,0.7066670273319912,0.5025484869445593
Heidelberg,158741,122820,121079,104702,0.7737131553914868,0.7627456044752143,0.6595775508532767
Heidenheim,132812,87428,90031,65207,0.6582838900099388,0.6778830226184381,0.4909722013071108
"Heilbronn, Land",346363,238118,238760,168807,0.6874810531147958,0.6893345998273488,0.487370186769372
"Heilbronn, Stadt",126458,92534,96217,69317,0.7317370194056525,0.7608613136377296,0.5481424662733873
Hohenlohekreis,112765,77112,76302,60672,0.6838292023234159,0.6766461224670776,0.5380392852392143
"Karlsruhe, Land",446852,327314,330384,257143,0.7324886092039422,0.7393588928772837,0.5754545129036012
"Karlsruhe, Stadt",308436,222913,224103,180294,0.7227204347093076,0.7265786095008365,0.5845426603898377
Konstanz,286876,203782,205099,162166,0.7103487220959578,0.7149395557662545,0.5652825611065408
Lörrach,228842,164710,165250,122953,0.7197542409173141,0.7221139476145113,0.5372833658157157
Ludwigsburg,544971,371045,375136,252802,0.680852742623002,0.6883595640868964,0.46388156434012084
Main-Tauber-Kreis,132684,96013,98511,78241,0.7236215368846282,0.7424482228452564,0.5896792378885171
Mannheim,309721,229836,227561,177401,0.7420743184995529,0.7347289980337142,0.5727767894330704
Neckar-Odenwald-Kreis,143797,99555,102650,77435,0.6923301598781616,0.7138535574455657,0.5385021940652448
Ortenaukreis,432580,309956,306432,224433,0.7165287345693282,0.7083822645522215,0.5188242637200056
Ostalbkreis,314294,224398,224520,172079,0.7139748133912833,0.7143629849758506,0.5475096565635997
Pforzheim,126016,83934,83372,69273,0.6660582783138649,0.6615985271711529,0.5497159090909091
Rastatt,232091,163138,167009,126724,0.702905325928192,0.7195841286391975,0.5460099702271953
Ravensburg,285888,200723,200991,154709,0.7021036209984329,0.7030410510409671,0.5411524792925901
Rems-Murr-Kreis,427286,292551,295514,239740,0.6846725612353318,0.6916070266753416,0.5610761878460797
Reutlingen,287497,205111,207473,153141,0.7134370097774934,0.7216527476808454,0.5326699061207595
Rhein-Neckar-Kreis,548233,406184,406308,331510,0.740896662550412,0.7411228437543891,0.6046881526650165
Rottweil,140166,97985,101713,76997,0.6990639670105446,0.725661001954825,0.5493272262888289
Schwäbisch Hall,197860,130765,134341,95156,0.6608965935509956,0.6789699787728697,0.48092590720711614
Schwarzwald-Baar-Kreis,212872,149944,153544,109884,0.7043857341500996,0.7212973054229772,0.5161975271524673
Sigmaringen,130946,87968,89054,68088,0.6717883707787943,0.6800818658072794,0.5199700639958457
Stuttgart,630305,444209,443766,330769,0.7047524611100975,0.7040496267679933,0.5247761004593015
Tübingen,228471,168726,171302,136170,0.7385007287576979,0.7497756826905821,0.596005619969274
Tuttlingen,141682,94206,97199,65959,0.6649115625132339,0.6860363348908118,0.46554255304131786
Ulm,126405,101697,102213,84028,0.8045330485344725,0.8086151655393379,0.6647521854357027
Waldshut,171237,119464,124057,94900,0.6976529605167108,0.7244754346315341,0.5542026548000725
Zollernalbkreis,189862,123152,124307,74981,0.6486395381908966,0.6547229040039608,0.3949236814107088
Baden-Württemberg,11103043,7886225,7949017,6062329,0.7102760027138506,0.7159313892596831,0.546006081395884
