district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,137307,134886,82148,0.6927559484167827,0.6805412605194648,0.4144618675707857
Baden-Baden,55449,46242,44227,35175,0.833955526700211,0.7976158271564862,0.6343667153600606
Biberach,202250,137037,134273,86087,0.6775624227441286,0.6638961681087763,0.42564647713226206
Böblingen,392898,259767,254885,113060,0.6611563306507032,0.6487307138239441,0.28775916395603945
Bodenseekreis,217901,156336,153501,102043,0.7174634352297603,0.7044529396377254,0.4682998242321054
Breisgau-Hochschwarzwald,264867,195784,189049,124227,0.7391785311118411,0.7137506748670087,0.4690165252749493
Calw,160149,107393,104945,62423,0.6705817707260114,0.6552960055947898,0.3897807666610469
Emmendingen,166862,124902,121749,81539,0.7485347173113112,0.7296388632522683,0.4886612889693279
Enzkreis,199752,128791,126876,70185,0.6447544955745124,0.6351676078337138,0.3513606872521927
Esslingen,533617,364831,357494,225291,0.6836944849957929,0.669944923044056,0.422196069465553
Freiburg im Breisgau,230940,177855,172464,128942,0.7701351000259807,0.7467913743829566,0.5583354983978522
Freudenstadt,118364,94484,90705,90593,0.7982494677435706,0.7663225304991382,0.7653762968470142
Göppingen,258781,176793,175038,100426,0.683176121894575,0.6763943257039736,0.3880733129557425
Heidelberg,158741,120628,115919,83451,0.7599044985227509,0.7302398246199785,0.5257053943215678
Heidenheim,132812,85979,85204,52771,0.6473737312893413,0.6415384152034455,0.3973360840887872
"Heilbronn, Land",346363,234933,229643,129555,0.6782854981623326,0.6630125042224487,0.3740439943065512
"Heilbronn, Stadt",126458,91066,91853,52981,0.7201284220848029,0.7263518322288823,0.4189612361416439
Hohenlohekreis,112765,75927,73459,49320,0.6733206225335876,0.6514343989713121,0.43736975125260497
"Karlsruhe, Land",446852,321754,314987,205630,0.7200460107597146,0.704902294271929,0.4601747334687995
"Karlsruhe, Stadt",308436,217049,210538,137020,0.7037083868290342,0.6825986590410976,0.4442412688531819
Konstanz,286876,200169,195593,131891,0.6977544304856453,0.6818032878316764,0.4597491599157824
Lörrach,228842,162241,157481,96343,0.7089651375184626,0.688164759965391,0.4210022635704984
Ludwigsburg,544971,366160,361110,197867,0.6718889628989433,0.6626224147706942,0.363078035345
Main-Tauber-Kreis,132684,94231,93837,61872,0.7101911308070302,0.707221669530614,0.4663109342497965
Mannheim,309721,224747,217019,134158,0.725643401642123,0.7006919130443205,0.43315758376086866
Neckar-Odenwald-Kreis,143797,97826,97217,61332,0.6803062650820254,0.6760711280485685,0.4265179384827222
Ortenaukreis,432580,305816,293760,184368,0.7069582504970179,0.679088261130889,0.4262055573535531
Ostalbkreis,314294,221153,214665,140168,0.7036500855886526,0.6830069934519908,0.44597733332484873
Pforzheim,126016,82514,78723,56943,0.6547898679532758,0.6247063864906044,0.4518711909598781
Rastatt,232091,160862,160660,99887,0.6930988276150303,0.6922284793464633,0.43037860149682666
Ravensburg,285888,196841,191331,125438,0.6885248768748601,0.6692515950302216,0.4387662301320797
Rems-Murr-Kreis,427286,288511,283760,189643,0.6752175357956965,0.6640985194927987,0.4438315320417706
Reutlingen,287497,202073,197526,127245,0.7028699429907095,0.6870541257821821,0.4425959227400634
Rhein-Neckar-Kreis,548233,398892,387610,260399,0.727595748522982,0.7070169070449973,0.47497870431002875
Rottweil,140166,96382,96147,63796,0.6876275273604155,0.685950943880827,0.4551460411226688
Schwäbisch Hall,197860,128662,127825,77585,0.6502678661679976,0.6460376023450924,0.39212069139795813
Schwarzwald-Baar-Kreis,212872,146623,144715,85709,0.68878480965087,0.6798216768762448,0.4026316283964072
Sigmaringen,130946,86600,84035,57099,0.6613413162677745,0.6417530890596124,0.436049974798772
Stuttgart,630305,437591,422892,261698,0.6942527823831319,0.6709323264134031,0.4151926448306772
Tübingen,228471,166671,163232,113881,0.729506151765432,0.714453913188107,0.49844838075729525
Tuttlingen,141682,92667,91065,55736,0.6540492087915191,0.6427421973151142,0.3933880097683545
Ulm,126405,100232,96924,68885,0.7929433171156204,0.7667734662394684,0.5449547090700526
Waldshut,171237,115819,114662,65056,0.676366673090512,0.6696099557922646,0.3799178915771708
Zollernalbkreis,189862,122102,120863,62788,0.6431092056335654,0.6365834132159147,0.3307033529616248
Baden-Württemberg,11103043,7750243,7574347,4792654,0.6980287296014255,0.6821865861457981,0.4316522956814632
