district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139513,141570,97877,0.7038858953401546,0.7142640915420476,0.4938194991019354
Baden-Baden,55449,47131,47001,41948,0.8499882775162763,0.8476437807715198,0.7565149957618713
Biberach,202250,138931,141536,101643,0.6869270704573548,0.6998071693448702,0.5025611866501855
Böblingen,392898,270857,270196,200686,0.6893824860396337,0.687700115551619,0.5107839693762758
Bodenseekreis,217901,158504,160694,119586,0.7274129076966145,0.7374633434449589,0.5488088627404188
Breisgau-Hochschwarzwald,264867,198334,196676,143242,0.7488060045230248,0.7425462590658708,0.5408072730842272
Calw,160149,108692,111142,73909,0.6786929671743189,0.6939912206757457,0.46150147674977676
Emmendingen,166862,126709,126284,94690,0.7593640253622754,0.7568170104637365,0.5674749193944697
Enzkreis,199752,130581,132172,83701,0.6537156073531178,0.6616804837999118,0.41902459049221036
Esslingen,533617,368964,371353,267999,0.6914397404880279,0.6959167342869511,0.5022310008864035
Freiburg im Breisgau,230940,180383,179387,149614,0.7810816662336537,0.7767688577119598,0.6478479258681908
Freudenstadt,118364,96235,95339,99723,0.8130428170727586,0.805472947855767,0.842511236524619
Göppingen,258781,179453,182244,122800,0.693455083642153,0.7042402649344426,0.47453251977540856
Heidelberg,158741,122630,120707,99162,0.7725162371410033,0.7604021645321625,0.6246779344970739
Heidenheim,132812,87349,89817,63111,0.657689064241183,0.6762717224347198,0.4751904948348041
"Heilbronn, Land",346363,237878,238142,161050,0.6867881384558975,0.6875503445806855,0.4649746075648958
"Heilbronn, Stadt",126458,92420,95954,65646,0.7308355343276028,0.7587815717471413,0.5191130652074206
Hohenlohekreis,112765,77062,76166,58512,0.683385802332284,0.6754400744911985,0.5188844056223119
"Karlsruhe, Land",446852,326754,329274,243098,0.7312353978498474,0.7368748489432743,0.5440235245674183
"Karlsruhe, Stadt",308436,221987,222704,169266,0.7197181911320338,0.7220428224980223,0.5487880792125432
Konstanz,286876,203562,204579,155718,0.709581840237594,0.7131269259192125,0.5428059510032209
Lörrach,228842,164522,164775,116981,0.7189327134005121,0.7200382796864212,0.5111867576756015
Ludwigsburg,544971,370677,374205,237897,0.6801774773336563,0.6866512163032529,0.43653148516159573
Main-Tauber-Kreis,132684,95927,98302,74393,0.7229733803623647,0.7408730517620813,0.5606780018691025
Mannheim,309721,229380,226693,167606,0.7406020256940924,0.7319264757636712,0.541151552526306
Neckar-Odenwald-Kreis,143797,99400,102291,73339,0.6912522514377908,0.7113569824127068,0.5100175942474461
Ortenaukreis,432580,309657,305700,216105,0.7158375329418836,0.7066900920061029,0.4995723334412132
Ostalbkreis,314294,224213,224081,166133,0.7133861925458329,0.7129662036182682,0.5285910644173927
Pforzheim,126016,83818,82987,66565,0.6651377602844083,0.6585433595733875,0.5282265744032504
Rastatt,232091,163009,166658,120564,0.7023495094596516,0.7180717908061924,0.5194686566906946
Ravensburg,285888,200465,200407,149525,0.7012011696888292,0.700998293037833,0.523019504141482
Rems-Murr-Kreis,427286,292168,294870,228069,0.6837762061008318,0.6900998394517958,0.5337619299485591
Reutlingen,287497,204961,207059,147742,0.7129152652027674,0.7202127326546016,0.5138905797277885
Rhein-Neckar-Kreis,548233,405206,404897,310690,0.7391127495061406,0.7385491205381653,0.5667115989004675
Rottweil,140166,97874,101350,74301,0.6982720488563561,0.7230712155586947,0.530092889859167
Schwäbisch Hall,197860,130603,134016,92038,0.6600778328110786,0.677327403214394,0.4651672900030325
Schwarzwald-Baar-Kreis,212872,149682,153032,104615,0.7031549475741291,0.718892104175279,0.4914455635311361
Sigmaringen,130946,87894,88891,65645,0.6712232523330228,0.6788370778794313,0.5013135185496311
Stuttgart,630305,443708,442621,315477,0.7039576078247832,0.7022330459063469,0.5005148301219251
Tübingen,228471,168510,170944,131191,0.7375553133658102,0.7482087442169904,0.5742129198016378
Tuttlingen,141682,94069,96726,63445,0.6639446083482728,0.682697872700837,0.44779859121130416
Ulm,126405,101554,101776,80417,0.8034017641707211,0.8051580238123492,0.6361852774811123
Waldshut,171237,119295,123673,91102,0.6966660242821353,0.7222329286310786,0.5320228688893172
Zollernalbkreis,189862,123058,124098,72307,0.6481444417524307,0.6536221044758825,0.38083976783137224
Baden-Württemberg,11103043,7873579,7922989,5779128,0.7091370356757152,0.7135871670496098,0.5204994702803547
