district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,134480,130988,56743,0.6784928659361062,0.6608746543964804,0.28628584690520875
Baden-Baden,55449,44169,42612,24213,0.7965698209165178,0.7684899637504734,0.4366715360060596
Biberach,202250,132439,128404,51082,0.6548281829419036,0.6348776266996292,0.2525686032138443
Böblingen,392898,257293,250054,86656,0.6548595309724152,0.6364349016793163,0.220555971269897
Bodenseekreis,217901,153804,148901,72824,0.7058434793782498,0.6833424353261344,0.33420681869289265
Breisgau-Hochschwarzwald,264867,188883,182225,89661,0.7131239452253395,0.6879868009227272,0.3385132915765271
Calw,160149,103986,100771,36843,0.6493078320813742,0.6292327769764406,0.2300545117359459
Emmendingen,166862,122391,118131,58375,0.73348635399312,0.7079562752454124,0.34983998753460943
Enzkreis,199752,127050,123127,48081,0.6360386879730866,0.6163993351756177,0.24070347230565903
Esslingen,533617,358940,347733,154611,0.6726547317645427,0.6516527771791378,0.28974151872972564
Freiburg im Breisgau,230940,173463,167439,93623,0.7511171732917641,0.7250324759677839,0.40539967091019313
Freudenstadt,118364,86426,82912,58252,0.7301713358791524,0.7004832550437633,0.4921428812814707
Göppingen,258781,173951,169474,69800,0.6721938627642678,0.6548935200034005,0.2697261390905824
Heidelberg,158741,117067,111899,56129,0.7374717306807945,0.7049155542676435,0.3535885499020417
Heidenheim,132812,84319,81846,34322,0.6348748607053579,0.616254555311267,0.2584254434840225
"Heilbronn, Land",346363,229888,222501,86994,0.6637198546034074,0.6423925188313995,0.2511642409841698
"Heilbronn, Stadt",126458,87925,87210,35477,0.6952901358553828,0.6896360847079663,0.2805437378418131
Hohenlohekreis,112765,74447,70719,34522,0.6601959827960804,0.6271360794572785,0.3061410898771782
"Karlsruhe, Land",446852,315248,305667,144009,0.7054863802780339,0.6840452767359215,0.3222744890925855
"Karlsruhe, Stadt",308436,211974,204284,91893,0.6872544061004552,0.6623221673215838,0.29793214799828815
Konstanz,286876,195629,189479,85645,0.6819287775903178,0.660490943822418,0.2985436216344344
Lörrach,228842,156807,151059,53691,0.6852194964211115,0.6601017295776125,0.23462039310965643
Ludwigsburg,544971,359517,350954,137173,0.6596993234502386,0.643986560752774,0.2517069715636245
Main-Tauber-Kreis,132684,92656,91060,32892,0.698320822405113,0.6862922432245033,0.2478972596545175
Mannheim,309721,217713,209543,91956,0.7029326393754379,0.6765540599442724,0.2968994675853429
Neckar-Odenwald-Kreis,143797,95801,94293,38953,0.6662239128771811,0.6557369068895735,0.27088882243718576
Ortenaukreis,432580,298522,283876,122753,0.6900966295251746,0.6562393083360303,0.28376947616625825
Ostalbkreis,314294,217167,207723,95619,0.6909676926699205,0.6609193939432506,0.30423425200608345
Pforzheim,126016,79674,75265,33661,0.6322530472320975,0.5972654266124936,0.26711687404774
Rastatt,232091,158256,156287,67120,0.6818704732195561,0.6733867319284246,0.2891969098327811
Ravensburg,285888,192743,183983,72127,0.674190592119991,0.6435492220729796,0.2522911070069398
Rems-Murr-Kreis,427286,281643,273048,118987,0.6591439925483166,0.6390286599607757,0.27847156237274334
Reutlingen,287497,198312,191109,86498,0.6897880673537463,0.664733892875404,0.30086574816432865
Rhein-Neckar-Kreis,548233,387209,374968,182879,0.7062854662160067,0.6839573684911342,0.3335789709849644
Rottweil,140166,94196,92349,40612,0.6720317338013498,0.6588545010915628,0.28974216286403265
Schwäbisch Hall,197860,124955,122537,47965,0.6315323966440918,0.6193116344890327,0.2424188820378045
Schwarzwald-Baar-Kreis,212872,140574,136824,58179,0.6603686722537487,0.6427524521778346,0.2733050847457627
Sigmaringen,130946,84735,80930,37200,0.647098804087181,0.6180410245444687,0.2840865700365036
Stuttgart,630305,418420,404067,179715,0.6638373485852087,0.6410658332077328,0.28512386860329525
Tübingen,228471,162889,158056,78654,0.712952628561174,0.6917989591676843,0.34426251034048083
Tuttlingen,141682,90341,87590,37292,0.6376321621659773,0.6182154402111771,0.2632091585381347
Ulm,126405,96731,92537,45955,0.7652466279023773,0.7320675606186464,0.3635536568964835
Waldshut,171237,113355,111222,39278,0.6619772595875891,0.649520839538184,0.2293779965778424
Zollernalbkreis,189862,120416,117222,41358,0.634229071641508,0.6174063267004456,0.2178318989581907
Baden-Württemberg,11103043,7556404,7312878,3210272,0.6805705426881622,0.6586372762854291,0.2891344291830627
