district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139631,141897,103016,0.7044812415491111,0.7159139068838166,0.5197473310326735
Baden-Baden,55449,47194,47126,44505,0.8511244567079659,0.8498981045645548,0.8026294432721961
Biberach,202250,139161,141990,106401,0.6880642768850432,0.7020519159456119,0.5260865265760197
Böblingen,392898,271327,270921,213222,0.6905787252671177,0.6895453781897591,0.5426904692821037
Bodenseekreis,217901,158758,161239,126793,0.7285785746738198,0.7399644792818757,0.5818835159086007
Breisgau-Hochschwarzwald,264867,198584,197262,152735,0.7497498744652977,0.7447586902105585,0.5766479025322143
Calw,160149,108836,111494,78165,0.6795921298290967,0.6961891738318691,0.48807672854654105
Emmendingen,166862,126848,126597,100083,0.7601970490585034,0.7586928120243075,0.5997950402128706
Enzkreis,199752,130800,132674,88520,0.6548119668388802,0.6641936000640795,0.44314950538667947
Esslingen,533617,369343,372201,286368,0.6921499877252786,0.6975058890552588,0.5366545668522554
Freiburg im Breisgau,230940,180717,179926,157771,0.7825279293322941,0.7791027972633584,0.6831687884298953
Freudenstadt,118364,98393,99435,104207,0.831274711905647,0.8400780642763003,0.8803943766685817
Göppingen,258781,179733,182943,131434,0.6945370796155823,0.7069413905966822,0.5078966384703668
Heidelberg,158741,122877,121146,106016,0.7740722308666318,0.7631676756477532,0.667855185490831
Heidenheim,132812,87451,90073,65835,0.6584570671324881,0.6781992591030931,0.49570068969671416
"Heilbronn, Land",346363,238153,238874,170444,0.6875821031692184,0.6896637342903255,0.492096442171941
"Heilbronn, Stadt",126458,92563,96264,70053,0.7319663445570862,0.7612329785383289,0.553962580461497
Hohenlohekreis,112765,77123,76354,61460,0.683926750321465,0.6771072584578548,0.5450272690994546
"Karlsruhe, Land",446852,327376,330552,259958,0.7326273576038599,0.7397348562835122,0.5817541378353459
"Karlsruhe, Stadt",308436,223134,224616,182662,0.7234369528848773,0.7282418394739913,0.5922201040086111
Konstanz,286876,203811,205178,163466,0.7104498110681967,0.7152149360699396,0.5698141357241456
Lörrach,228842,164734,165338,124219,0.7198591167705229,0.7224984924096102,0.5428155670724779
Ludwigsburg,544971,371096,375261,255570,0.6809463255842971,0.6885889340900708,0.4689607336904166
Main-Tauber-Kreis,132684,96044,98578,79084,0.7238551747007929,0.7429531819963221,0.5960326791474481
Mannheim,309721,229940,227730,179454,0.7424101045779912,0.7352746504111765,0.5794053357699349
Neckar-Odenwald-Kreis,143797,99574,102732,78292,0.692462290590207,0.7144238057817618,0.5444619846032949
Ortenaukreis,432580,310029,306591,226468,0.7166974894817144,0.7087498266216653,0.5235285958666605
Ostalbkreis,314294,224446,224625,173599,0.7141275366376705,0.7146970670773225,0.5523458926991924
Pforzheim,126016,83960,83465,69964,0.6662646013204673,0.6623365286947689,0.5551993397663789
Rastatt,232091,163178,167102,128237,0.7030776721199874,0.719984833535122,0.5525289649318587
Ravensburg,285888,200812,201134,155770,0.7024149317215134,0.7035412469218715,0.5448637228565032
Rems-Murr-Kreis,427286,292609,295624,242416,0.6848083016995642,0.6918644654868168,0.5673389720234222
Reutlingen,287497,205136,207554,154354,0.7135239672066144,0.7219344897511975,0.5368890805817104
Rhein-Neckar-Kreis,548233,406276,406526,335883,0.7410644744114273,0.7415204849033167,0.6126646881891459
Rottweil,140166,98007,101858,77870,0.6992209237618253,0.72669548963372,0.5555555555555556
Schwäbisch Hall,197860,130794,134408,95849,0.6610431618315981,0.6793086020418477,0.48442838370565044
Schwarzwald-Baar-Kreis,212872,149982,153633,111136,0.7045642451802022,0.7217153970461122,0.522078995828479
Sigmaringen,130946,87975,89085,68646,0.67184182792907,0.6803186046156431,0.5242313625463931
Stuttgart,630305,444336,444035,334067,0.7049539508650574,0.7044764042804674,0.5300084879542444
Tübingen,228471,168758,171361,137240,0.7386407902972368,0.750033921154107,0.6006889276976072
Tuttlingen,141682,94216,97230,66355,0.6649821431092164,0.6862551347383578,0.46833754464222693
Ulm,126405,101731,102249,84587,0.8048020252363435,0.8088999644001424,0.6691744788576401
Waldshut,171237,119489,124137,95675,0.6977989570011154,0.724942623381629,0.5587285458166167
Zollernalbkreis,189862,123175,124341,75740,0.648760678808819,0.6549019814391506,0.39892132180215106
Baden-Württemberg,11103043,7888110,7953359,6123589,0.7104457759913205,0.7163224532229587,0.55152348775016
