district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139569,141657,99504,0.7041684325240661,0.7147030332384816,0.5020282133559363
Baden-Baden,55449,47160,47001,42718,0.8505112806362604,0.8476437807715198,0.7704016303269671
Biberach,202250,139002,141621,102916,0.6872781211372064,0.7002274412855377,0.5088553770086527
Böblingen,392898,271045,270422,204391,0.6898609817306273,0.6882753284567495,0.5202138977546336
Bodenseekreis,217901,158520,160864,122178,0.7274863355376983,0.7382435142564743,0.5607041729959936
Breisgau-Hochschwarzwald,264867,198442,196900,146263,0.7492137563380866,0.7433919665341473,0.5522129974666531
Calw,160149,108742,111280,75235,0.67900517642945,0.6948529182199077,0.4697812661958551
Emmendingen,166862,126701,126385,96350,0.7593160815524206,0.757422301063154,0.5774232599393511
Enzkreis,199752,130693,132397,85185,0.6542763026152429,0.6628068805318595,0.42645380271536704
Esslingen,533617,369098,371624,273051,0.6916908569254727,0.6964245891716343,0.5116984653787267
Freiburg im Breisgau,230940,180471,179501,151978,0.7814627175889841,0.7772624924222742,0.6580843509136572
Freudenstadt,118364,96274,95379,100528,0.8133723091480518,0.8058108884458113,0.8493122908992599
Göppingen,258781,178274,182403,125364,0.688899107739749,0.7048546840764971,0.4844405114749537
Heidelberg,158741,122748,120894,101344,0.7732595863702509,0.7615801840734278,0.6384235956684159
Heidenheim,132812,87379,89867,63868,0.6579149474445081,0.6766481944402615,0.48089028099870496
"Heilbronn, Land",346363,237972,238388,163785,0.6870595300306326,0.6882605821060563,0.4728709475319246
"Heilbronn, Stadt",126458,92465,96012,66705,0.7311913837005172,0.7592402220500087,0.5274873871166712
Hohenlohekreis,112765,77077,76176,59172,0.6835188223296236,0.675528754489425,0.5247372855052543
"Karlsruhe, Land",446852,326993,329677,248529,0.7317702505527557,0.737776713542739,0.5561774368247205
"Karlsruhe, Stadt",308436,222308,223165,173221,0.7207589256766396,0.7235374599592784,0.5616108366079187
Konstanz,286876,203654,204788,158320,0.7099025362874553,0.7138554636846581,0.5518760718916884
Lörrach,228842,164623,165001,118969,0.7193740659494323,0.7210258606374704,0.5198739741830608
Ludwigsburg,544971,370845,374520,242565,0.6804857506179228,0.6872292287112525,0.4450970785601436
Main-Tauber-Kreis,132684,95956,98402,75898,0.723191944771035,0.7416267221368062,0.5720207410087125
Mannheim,309721,229598,227057,171406,0.7413058849738958,0.7331017270382053,0.5534206592384759
Neckar-Odenwald-Kreis,143797,99489,102430,75015,0.6918711795100037,0.7123236228850394,0.5216729138994555
Ortenaukreis,432580,309795,305956,219272,0.7161565490776273,0.7072818900550187,0.5068935225854178
Ostalbkreis,314294,224288,224260,168483,0.7136248226183128,0.7135357340579203,0.5360681400217631
Pforzheim,126016,83850,83078,67454,0.6653916962925343,0.6592654900964957,0.5352812341289995
Rastatt,232091,163071,166790,122748,0.7026166460569345,0.7186405332391174,0.5288787587627267
Ravensburg,285888,200575,200592,151496,0.7015859357510633,0.701645399597045,0.5299138124020596
Rems-Murr-Kreis,427286,292331,295186,232776,0.6841576836123814,0.6908393909465791,0.5447779707268667
Reutlingen,287497,205042,207224,149910,0.7131970072731194,0.7207866516868002,0.5214315279811615
Rhein-Neckar-Kreis,548233,405938,405676,318763,0.7404479482263928,0.7399700492308927,0.5814370897045599
Rottweil,140166,97890,101452,75222,0.6983861992209237,0.723798924132814,0.5366636702195967
Schwäbisch Hall,197860,130679,134138,93382,0.6604619427878298,0.6779440008086526,0.4719599716971596
Schwarzwald-Baar-Kreis,212872,149785,153214,106387,0.7036388064188809,0.7197470780562968,0.4997698147243414
Sigmaringen,130946,87934,88910,66559,0.6715287217631696,0.678982175858751,0.508293495028485
Stuttgart,630305,443874,443037,321534,0.7042209723863844,0.7028930438438534,0.510124463553359
Tübingen,228471,168620,171115,133255,0.7380367749079751,0.7489571980689015,0.5832468891018991
Tuttlingen,141682,94142,96969,64813,0.6644598466989455,0.6844129811832131,0.4574540167417174
Ulm,126405,101630,102050,82230,0.8040030062101974,0.8073256595862506,0.6505280645544085
Waldshut,171237,119379,123800,92571,0.697156572469735,0.7229745907718542,0.5406016223129347
Zollernalbkreis,189862,123081,124168,72904,0.6482655823703533,0.6539907933130379,0.3839841569139691
Baden-Württemberg,11103043,7877002,7931426,5884217,0.7094453295371368,0.7143470488225615,0.5299643530156553
