district,pop,part,full,partq,fullq
Alb-Donau-Kreis,198203.99999999997,128745.99999999999,125473,0.6495630764263083,0.6330497870880508
Baden-Baden,55449,41936,40741,0.7562985806777399,0.734747245216325
Biberach,202250,126497.00000000001,123597.00000000001,0.6254487021013597,0.6111100123609395
Böblingen,392897.99999999994,249293.99999999997,242713.99999999997,0.6345005573965762,0.6177532082118006
Bodenseekreis,217901,145272.99999999997,141039,0.6666926723603838,0.6472618299135846
Breisgau-Hochschwarzwald,264867,178703.99999999997,173121,0.6746933366557554,0.6536148331049169
Calw,160148.99999999997,100046,97209,0.6247057427770389,0.606990989640897
Emmendingen,166862.00000000003,117347.00000000001,114141,0.7032577818796371,0.6840443000803058
Enzkreis,199752,120887.99999999999,118146,0.6051904361408146,0.5914634146341463
Esslingen,533617,343195,335222.99999999994,0.6431485503647747,0.6282089963400715
Freiburg im Breisgau,230940,166442.99999999997,161692.99999999997,0.7207196674460897,0.7001515545163245
Freudenstadt,118364,79926,78574.99999999999,0.6752559899969586,0.6638420465682132
Göppingen,258780.99999999994,165314,162379,0.6388181512553087,0.6274765148909697
Heidelberg,158741,112310,107872.99999999999,0.7075046774305315,0.6795534864968722
Heidenheim,132812,78616,76968,0.5919344637532753,0.5795259464506219
"Heilbronn, Land",346363,220629,214576,0.6369877844919926,0.6195118993656944
"Heilbronn, Stadt",126458,81508,80786,0.6445460152777998,0.6388366097834854
Hohenlohekreis,112765,70096,67935,0.6216113155677737,0.6024475679510486
"Karlsruhe, Land",446852.00000000006,300828,294732.99999999994,0.673216187910091,0.659576325047219
"Karlsruhe, Stadt",308435.99999999994,203351.00000000003,197118,0.6592972285984777,0.6390888223164612
Konstanz,286876,186329,181248,0.6495105899412987,0.6317991048397217
Lörrach,228842,149853,146252,0.6548317179538721,0.6390959701453405
Ludwigsburg,544971,345046,338524,0.6331456169227353,0.6211780076371036
Main-Tauber-Kreis,132684,88249.00000000001,87900,0.6651065689909862,0.6624762593831962
Mannheim,309720.99999999994,206518,199851.00000000003,0.6667872052589268,0.6452613804036538
Neckar-Odenwald-Kreis,143797,92107,91199,0.640534920756344,0.6342204635701718
Ortenaukreis,432580,282800,272154.00000000006,0.6537519071616811,0.6291414304868465
Ostalbkreis,314294,206680,198641,0.65760084506863,0.6320228830330836
Pforzheim,126016,73813,70546,0.5857430802437785,0.5598178009141697
Rastatt,232091,151218.99999999997,148271,0.6515504694279398,0.6388485550926145
Ravensburg,285888,182226,176123,0.6374034586971121,0.6160559379897023
Rems-Murr-Kreis,427285.99999999994,268316,262972.99999999994,0.6279541103616783,0.6154496051824773
Reutlingen,287496.99999999994,189168,183936,0.6579825180784497,0.6397840673120069
Rhein-Neckar-Kreis,548233.0000000001,373572,364434.99999999994,0.6814110059044237,0.6647447344468499
Rottweil,140166,88137.99999999999,86557,0.6288115520168942,0.6175320691180457
Schwäbisch Hall,197860,118381.99999999999,117543,0.598311937733751,0.5940715657535631
Schwarzwald-Baar-Kreis,212872,131603.99999999997,128431.00000000001,0.6182306738321619,0.6033250028185952
Sigmaringen,130946,80465,77777.99999999999,0.6144899424190124,0.5939700334489025
Stuttgart,630305,400219.99999999994,387998.99999999994,0.6349624388193017,0.6155734128715462
Tübingen,228471,156005,152766,0.6828218898678607,0.6686450359126541
Tuttlingen,141682.00000000003,84767.00000000001,82913.00000000001,0.5982905379653025,0.5852048954701373
Ulm,126405,91400,88200,0.7230726632649025,0.6977572089711641
Waldshut,171237,108425,106978,0.6331867528629911,0.6247364763456495
Zollernalbkreis,189862.00000000003,116089,112630,0.6114388345219158,0.5932203389830507
Baden-Württemberg,11103043,7202338,7017888,0.6486814470591531,0.6320688841788688
