district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139580,141758,100135,0.7042239308994773,0.7152126092308935,0.5052118019817965
Baden-Baden,55449,47168,47055,43096,0.8506555573590145,0.8486176486501109,0.7772187054771051
Biberach,202250,139020,141722,103546,0.6873671199011124,0.7007268232385662,0.5119703337453646
Böblingen,392898,271112,270587,206309,0.6900315094502899,0.6886952847812918,0.5250955718787065
Bodenseekreis,217901,158650,160994,123065,0.7280829367465042,0.7388401154652801,0.5647748289360764
Breisgau-Hochschwarzwald,264867,198478,197025,147596,0.749349673609774,0.7438639015052838,0.5572457119988522
Calw,160149,108775,111368,76241,0.6792112345378366,0.6954024065089386,0.47606291640909404
Emmendingen,166862,126784,126428,97179,0.7598134985796646,0.7576799990411238,0.58239143723556
Enzkreis,199752,130718,132445,85803,0.6544014578076816,0.6630471785013416,0.42954763907244986
Esslingen,533617,369162,371785,275934,0.6918107931344016,0.696726303697221,0.5171012167903196
Freiburg im Breisgau,230940,180566,179636,153290,0.7818740798475795,0.7778470598423833,0.6637654802113103
Freudenstadt,118364,98367,99346,102786,0.8310550505221183,0.8393261464634517,0.868389037207259
Göppingen,258781,179574,182525,126641,0.6939226604735278,0.7053261251792056,0.48937518596805796
Heidelberg,158741,122774,120935,102546,0.7734233751834749,0.7618384664327427,0.6459956784951588
Heidenheim,132812,87399,89962,64355,0.6580655362467247,0.6773634912507905,0.4845571183326808
"Heilbronn, Land",346363,238021,238560,165420,0.6872010001068244,0.6887571709449335,0.47759142864566945
"Heilbronn, Stadt",126458,92486,96133,67588,0.7313574467412105,0.7601970614749561,0.5344699425896345
Hohenlohekreis,112765,77091,76259,59726,0.6836429743271405,0.676264798474704,0.5296501574069968
"Karlsruhe, Land",446852,327111,329907,251135,0.7320343200880829,0.7382914253488851,0.5620093453760977
"Karlsruhe, Stadt",308436,222441,223421,175271,0.7211901334474575,0.7243674538640107,0.5682572721731575
Konstanz,286876,203725,204937,159556,0.710150029978109,0.7143748518523683,0.5561845536050419
Lörrach,228842,164649,165085,120012,0.7194876814570752,0.7213929261237011,0.524431703970425
Ludwigsburg,544971,370905,374743,245242,0.6805958482194465,0.6876384247969158,0.45000926654812823
Main-Tauber-Kreis,132684,95990,98439,76507,0.7234481926984414,0.7419055801754545,0.5766105935907871
Mannheim,309721,229680,227203,173326,0.7415706393818953,0.7335731190329361,0.5596197868404145
Neckar-Odenwald-Kreis,143797,99503,102523,75677,0.6919685389820371,0.7129703679492618,0.5262766260770392
Ortenaukreis,432580,309830,306176,220829,0.7162374589671274,0.7077904665033058,0.5104928568126127
Ostalbkreis,314294,224338,224332,169463,0.7137839093332994,0.713764818927501,0.5391862396355005
Pforzheim,126016,83887,83176,67950,0.6656853098019299,0.6600431691213814,0.5392172422549517
Rastatt,232091,163078,166874,123745,0.7026468066404987,0.7190024602418879,0.5331744875932285
Ravensburg,285888,200612,200715,152481,0.7017153570629058,0.7020756380120886,0.5333592175957018
Rems-Murr-Kreis,427286,292447,295338,234865,0.6844291645408461,0.6911951245769812,0.5496669677920644
Reutlingen,287497,205064,207328,150802,0.7132735298107459,0.7211483945919436,0.5245341690521989
Rhein-Neckar-Kreis,548233,406023,405917,322221,0.7406029917936352,0.7404096433450741,0.587744626828374
Rottweil,140166,97942,101556,75736,0.6987571879057689,0.7245409015025042,0.540330750681335
Schwäbisch Hall,197860,130715,134222,93908,0.6606438896189225,0.6783685434145356,0.4746184170625695
Schwarzwald-Baar-Kreis,212872,149841,153376,107394,0.7039018753053479,0.7205080987635762,0.5045003570220602
Sigmaringen,130946,87951,89001,67013,0.671658546270982,0.6796771188123348,0.5117605730606509
Stuttgart,630305,443997,443251,324449,0.7044161160073298,0.7032325620136283,0.514749208716415
Tübingen,228471,168641,171147,134100,0.7381286902932976,0.7490972596084404,0.5869453891303491
Tuttlingen,141682,94183,97121,65167,0.664749227142474,0.6854858062421479,0.4599525698394997
Ulm,126405,101647,102124,82729,0.8041374945611328,0.8079110794667932,0.6544756932083383
Waldshut,171237,119398,123888,93191,0.6972675297978824,0.7234884983969586,0.5442223351261701
Zollernalbkreis,189862,123103,124218,73647,0.6483814560048877,0.6542541424824346,0.3878975255712043
Baden-Württemberg,11103043,7882426,7940541,5937672,0.7099338442623342,0.715167994936163,0.5347787989292665
