district,pop,part,full,partq,fullq
Alb-Donau-Kreis,198203.99999999997,131405,127538,0.6629785473552502,0.6434683457447883
Baden-Baden,55449,42724.00000000001,41370.99999999999,0.7705098378690329,0.7461090371332214
Biberach,202250,128844,125097.00000000001,0.637053152039555,0.6185265760197776
Böblingen,392897.99999999994,252257,245209.99999999997,0.6420419549094167,0.6241060020666942
Bodenseekreis,217901,148937,144058.00000000003,0.6835076479685729,0.6611167456780833
Breisgau-Hochschwarzwald,264867,182114.99999999997,175207,0.687571498148127,0.661490483903242
Calw,160148.99999999997,101654.99999999999,98580,0.6347526366071596,0.6155517674165935
Emmendingen,166862.00000000003,119233,115309,0.7145605350529178,0.6910440963191139
Enzkreis,199752,123210.00000000001,119935,0.6168148504145141,0.6004195202050543
Esslingen,533617,348917,339556,0.6538715970443221,0.6363290524852094
Freiburg im Breisgau,230940,168714.99999999997,163535,0.7305577206200744,0.7081276522040357
Freudenstadt,118364,82199,79941.00000000001,0.6944594640262242,0.6753827177182252
Göppingen,258780.99999999994,169030,165000,0.6531777835312486,0.6376047700565345
Heidelberg,158741,113859,109223,0.7172627109568417,0.6880579056450444
Heidenheim,132812,81421,78262,0.6130545432641629,0.5892690419540403
"Heilbronn, Land",346363,224707,217415,0.6487615594044398,0.6277085023515792
"Heilbronn, Stadt",126458,84751,83085,0.6701908934191589,0.6570165588574863
Hohenlohekreis,112765,71627.99999999999,68920,0.6351970912960581,0.6111825477763491
"Karlsruhe, Land",446852.00000000006,304743,298332,0.6819774780016649,0.6676304458746967
"Karlsruhe, Stadt",308435.99999999994,206131,199493,0.6683104436576796,0.6467889610810672
Konstanz,286876,190292.99999999997,184354,0.6633284066983643,0.6426260823491683
Lörrach,228842,152197,148001,0.6650745929505947,0.6467387979479291
Ludwigsburg,544971,350381,342846,0.6429351286582222,0.6291087048668644
Main-Tauber-Kreis,132684,90354,89051,0.6809713303789454,0.6711510053962799
Mannheim,309720.99999999994,210585,203547,0.6799183781532413,0.6571947010373854
Neckar-Odenwald-Kreis,143797,93337,92142,0.6490886457992865,0.6407783194364277
Ortenaukreis,432580,288879,275986.99999999994,0.667804799112303,0.6380022192426833
Ostalbkreis,314294,211319,201698,0.6723609104850872,0.6417494447873647
Pforzheim,126016,75317,71776,0.5976780726256983,0.5695784662265109
Rastatt,232091,154220,150957.00000000003,0.6644807424673943,0.6504216018716797
Ravensburg,285888,186477,178665,0.652272918065816,0.6249475319006045
Rems-Murr-Kreis,427285.99999999994,273376,266741,0.6397962956895382,0.6242680546519194
Reutlingen,287496.99999999994,192563,186298,0.6697913369530814,0.6479998052153589
Rhein-Neckar-Kreis,548233.0000000001,377900.99999999994,367881,0.6893072835819805,0.6710303830670534
Rottweil,140166,90463.00000000001,88714.00000000001,0.6453990268681422,0.6329209651413326
Schwäbisch Hall,197860,120999.00000000001,119284,0.6115384615384616,0.6028707166683513
Schwarzwald-Baar-Kreis,212872,134987.00000000003,130772.99999999997,0.6341228531699802,0.6143269194633393
Sigmaringen,130946,82289,78857.99999999999,0.6284193484337055,0.6022177080628655
Stuttgart,630305,407720.99999999994,393546,0.6468630266299648,0.6243739142161334
Tübingen,228471,158275.99999999997,154685,0.6927618822520144,0.6770443513618796
Tuttlingen,141682.00000000003,87318,84222,0.6162956480004516,0.5944438954842534
Ulm,126405,93577,89560,0.7402950832641114,0.708516277046003
Waldshut,171237,110141,108380,0.6432079515525266,0.6329239591910627
Zollernalbkreis,189862.00000000003,117338,113831,0.6180172967734459,0.59954598603196
Baden-Württemberg,11103043,7336789,7116864,0.6607908300454208,0.6409831971289313
